k,auc,auprc,accuracy,balanced_accuracy,f1,precision,recall,specificity,threshold,tn,fp,fn,tp,repeat,selected_models
6,0.897243,0.930154,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.905388,0.932367,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,5,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.893484,0.928682,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,6,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.911654,0.934324,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,7,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.903509,0.932785,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,8,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.902256,0.932708,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,9,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.887218,0.923287,0.800000,0.800752,0.804878,0.825000,0.785714,0.815789,0.500000,31,7,9,33,10,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.902256,0.933175,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,11,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.893484,0.929425,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,12,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.901629,0.930055,0.812500,0.812657,0.819277,0.829268,0.809524,0.815789,0.500000,31,7,8,34,13,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.891604,0.924815,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,14,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.920426,0.943748,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,15,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.915414,0.937985,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,16,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.885338,0.916256,0.800000,0.802005,0.800000,0.842105,0.761905,0.842105,0.500000,32,6,10,32,17,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.917293,0.941305,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,18,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.908521,0.938297,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,19,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
6,0.920426,0.942222,0.837500,0.837719,0.843373,0.853659,0.833333,0.842105,0.500000,32,6,7,35,20,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2
7,0.917293,0.941249,0.850000,0.852130,0.850000,0.894737,0.809524,0.894737,0.500000,34,4,8,34,1,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.901629,0.930357,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,2,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.903509,0.932339,0.825000,0.825815,0.829268,0.850000,0.809524,0.842105,0.500000,32,6,8,34,3,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
7,0.897243,0.930154,0.837500,0.838972,0.839506,0.871795,0.809524,0.868421,0.500000,33,5,8,34,4,hoptimus1;virchow;hibou_l;hoptimus0;lunit-vits8;uni_v2;gigapath
